CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
620076307,MSI,Motorola Solutions Inc,97730,-14852,45.17M,-6.87M,-13.2%,0.14%
674215207,CHRD,Chord Energy Corporation,24261,-59239,2.84M,-6.93M,-70.9%,<.01%
690742101,OC,Owens Corning Inc,135543,-41252,23.09M,-7.03M,-23.3%,0.07%
25179M103,DVN,Devon Energy Corp.,972776,-220476,31.84M,-7.22M,-18.5%,0.1%
302081104,EXLS,ExlService Holdings Inc,360582,-164515,16M,-7.3M,-31.3%,0.05%
922475108,VEEV,Veeva Systems Inc A,148386,-35408,31.2M,-7.44M,-19.3%,0.09%
052769106,ADSK,Autodesk Inc.,207100,-25307,61.21M,-7.48M,-10.9%,0.18%
60855R100,MOH,Molina Healthcare Inc,44154,-27223,12.85M,-7.92M,-38.1%,0.04%
29670E107,EPRT,Essential Properties Realty Trust Inc,51186,-266555,1.6M,-8.34M,-83.9%,<.01%
739128106,POWL,Powell Industries Inc.,12188,-38019,2.7M,-8.43M,-75.7%,<.01%
671044105,OSIS,OSI Systems Inc.,27771,-50815,4.65M,-8.51M,-64.7%,0.01%
315616102,FFIV,F5 Inc,109010,-35044,27.41M,-8.81M,-24.3%,0.08%
701094104,PH,Parker-Hannifin Corp.,74068,-14115,47.11M,-8.98M,-16%,0.14%
58506Q109,MEDP,Medpace Holdings Inc,6634,-27166,2.2M,-9.03M,-80.4%,<.01%
00971T101,AKAM,Akamai Technologies Inc.,132024,-94535,12.63M,-9.04M,-41.7%,0.04%
637417106,NNN,NNN REIT Inc,111060,-221392,4.54M,-9.04M,-66.6%,0.01%
871829107,SYY,Sysco Corp.,282845,-120830,21.63M,-9.24M,-29.9%,0.06%
91307C102,UTHR,United Therapeutics Corp.,69207,-26236,24.42M,-9.26M,-27.5%,0.07%
86800U104,SUPER,Super Micro Computer Inc,0,-22424,0,-9.34M,CLOSE,0%
17275R102,CSCO,Cisco Systems Inc.,2866570,-158982,169.7M,-9.41M,-5.3%,0.51%
512816109,LAMR,Lamar Advertising Co. A,17931,-78358,2.18M,-9.54M,-81.4%,<.01%
227046109,CROX,Crocs Inc.,39073,-87095,4.28M,-9.54M,-69%,0.01%
12504L109,CBRE,CBRE Group Inc,328370,-74564,43.11M,-9.79M,-18.5%,0.13%
243537107,DECK,Deckers Outdoor Corp.,81437,-48672,16.54M,-9.88M,-37.4%,0.05%
127055101,CBT,Cabot Corporation,46031,-109264,4.2M,-9.98M,-70.4%,0.01%
29275Y102,ENS,EnerSys Inc.,71783,-108412,6.63M,-10.02M,-60.2%,0.02%
722304102,PDD,PDD Holdings Inc,18312,-108491,1.78M,-10.52M,-85.6%,<.01%
23331A109,DHI,DR Horton Inc,159990,-75732,22.37M,-10.59M,-32.1%,0.07%
416515104,HIG,Hartford Insurance Group Inc/The,377016,-98337,41.25M,-10.76M,-20.7%,0.12%
G0450A105,ACGL,Arch Capital Group Ltd,209049,-118772,19.31M,-10.97M,-36.2%,0.06%
85208M102,SFM,Sprouts Farmers Market Inc.,40665,-92066,5.17M,-11.7M,-69.4%,0.02%
084670702,BRK.B,Berkshire Hathaway Inc. B,911591,-26364,413.21M,-11.95M,-2.8%,1.2%
40412C101,HCA,HCA Healthcare Inc,106985,-39865,32.11M,-11.97M,-27.1%,0.1%
46625H100,JPM,JPMorgan Chase & Co.,1833018,-50817,439.39M,-12.18M,-2.7%,1.3%
761152107,RMD,ResMed Inc.,140126,-54475,32.05M,-12.46M,-28%,0.1%
565849106,MRO,Marathon Oil Corp,0,-468452,0,-12.47M,CLOSE,0%
278642103,EBAY,eBay Inc,722920,-207869,44.78M,-12.88M,-22.3%,0.13%
00206R102,T,AT&T Inc.,3546986,-567611,80.76M,-12.92M,-13.8%,0.24%
36467J108,GLPI,Gaming and Leisure Properties Inc,468841,-272624,22.58M,-13.13M,-36.8%,0.07%
380237107,GDDY,GoDaddy Inc A,194691,-67114,38.43M,-13.25M,-25.6%,0.11%
03076C106,AMP,Ameriprise Financial Inc.,80566,-24950,42.9M,-13.28M,-23.6%,0.13%
G3223R108,EG,Everest Group Ltd,22637,-36786,8.21M,-13.33M,-61.9%,0.02%
00287Y109,ABBV,AbbVie Inc,1085762,-75068,192.94M,-13.34M,-6.5%,0.58%
69608A108,PLTR,Palantir Technologies Inc,1107204,-180561,83.74M,-13.66M,-14%,0.25%
717081103,PFE,Pfizer Inc. (US),3204043,-514800,85M,-13.66M,-13.8%,0.25%
256163106,DOCU,Docusign Inc,296859,-155397,26.7M,-13.98M,-34.4%,0.08%
G54950103,LIN,Linde PLC,435921,-33723,182.51M,-14.12M,-7.2%,0.55%
745867101,PHM,PulteGroup Inc,265335,-129704,28.89M,-14.12M,-32.8%,0.09%
G8994E103,TT,Trane Technologies PLC,155559,-40334,57.46M,-14.9M,-20.6%,0.17%
191216100,KO,Coca-Cola Co/The,2643610,-240639,164.59M,-14.98M,-8.3%,0.49%
02079K305,GOOGL,Alphabet Inc A,4303617,-81180,814.67M,-15.37M,-1.9%,2.4%
592688105,MTD,Mettler-Toledo International Inc.,10116,-13057,12.38M,-15.98M,-56.3%,0.04%
G6095L109,APTV,Aptiv PLC OLD,0,-225951,0,-16.27M,CLOSE,0%
03831W108,APP,AppLovin Corp,112216,-58458,36.34M,-18.93M,-34.3%,0.11%
34959E109,FTNT,Fortinet Inc,580022,-209158,54.8M,-19.76M,-26.5%,0.16%
79466L302,CRM,Salesforce Inc,927994,-61659,310.26M,-20.61M,-6.2%,0.93%
149123101,CAT,Caterpillar Inc.,310338,-56956,112.58M,-20.66M,-15.5%,0.34%
911363109,URI,United Rentals Inc.,55621,-29703,39.18M,-20.92M,-34.8%,0.12%
