CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
675746606,ONIT,ONITY GROUP INC,27003,10003,1.24M,458.04K,+58.8%,0.2%
G2130T108,CCCX,CHURCHILL CAP CORP X,25000,25000,390K,390K,NEW,0.06%
03843E104,AQST,AQUESTIVE THERAPEUTICS INC,60000,60000,387.6K,387.6K,NEW,0.06%
867981102,SUNS,SUNRISE RLTY TR INC,50704,40704,478.14K,383.84K,+407%,0.08%
05614L209,BW,BABCOCK & WILCOX ENTERPRISES,50000,50000,317K,317K,NEW,0.05%
790148100,JOE,ST JOE CO,20004,5004,1.19M,297.09K,+33.4%,0.2%
92259N302,VELO,VELO3D INC,20000,20000,274.8K,274.8K,NEW,0.05%
29382R107,EVC,ENTRAVISION COMMUNICATIONS C,221504,90023,649.01K,263.77K,+68.5%,0.11%
11271J107,BN,BROOKFIELD CORP,15001,5001,688.4K,229.5K,+50%,0.11%
03211Q200,AMPG,AMPLITECH GROUP INC,171722,71722,513.45K,214.45K,+71.7%,0.08%
74319B502,PROF,PROFOUND MED CORP,26420,26420,207.93K,207.93K,NEW,0.03%
24661P807,DCTH,DELCATH SYS INC,20000,20000,202K,202K,NEW,0.03%
14167R100,CCLD,CARECLOUD INC,110011,60011,321.23K,175.23K,+120%,0.05%
003881307,ACTG,ACACIA RESH CORP,166672,46327,623.35K,173.26K,+38.5%,0.1%
81369Y506,XLE,SELECT SECTOR SPDR TR,6672,3335,298.31K,149.11K,+99.9%,0.05%
25400Q105,DJT,TRUMP MEDIA & TECHNOLOGY GRO,10000,10000,132.4K,132.4K,NEW,0.02%
G0403H108,AON,AON PLC,40101,355,14.15M,125.27K,+0.9%,2.3%
886029206,THRY,THRYV HLDGS INC,20000,20000,121K,121K,NEW,0.02%
11161T207,BWEN,BROADWIND INC,50000,40000,141.5K,113.2K,+400%,0.02%
165167735,EXE,EXPAND ENERGY CORPORATION,3362,1000,371.03K,110.36K,+42.3%,0.06%
52474R207,LGCY,LEGACY ED INC,29939,9939,305.08K,101.28K,+49.7%,0.05%
G9572D103,BULL,WEBULL CORP,12000,12000,93.24K,93.24K,NEW,0.02%
M87095309,SPCB,SUPERCOM LTD NEW,118571,8571,1.07M,77.57K,+7.8%,0.18%
G21810109,CLVT,CLARIVATE PLC,20000,20000,66.8K,66.8K,NEW,0.01%
47012E403,JAKK,JAKKS PAC INC,19930,2404,336.42K,40.58K,+13.7%,0.06%
G98338109,YTRA,YATRA ONLINE INC,20000,20000,35.6K,35.6K,NEW,<.01%
25380B102,DGXX,DIGI PWR X INC,80000,11825,204K,30.15K,+17.3%,0.03%
92512J106,VBNK,VERSABANK NEW,24511,511,367.18K,7.65K,+2.1%,0.06%
78462F103,SPY,SPDR S&P 500 ETF TR,38507,8,26.26M,5.46K,+0%,4.3%
594918104,MSFT,MICROSOFT CORP,23444,2,11.34M,967.24,+0%,1.9%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,20547,1,10.33M,502.65,+0%,1.7%
205750409,LODE,COMSTOCK INC,550118,118,2.07M,443.68,+0%,0.34%
78463V107,GLD,SPDR GOLD TR,3640,1,1.44M,396.31,+0%,0.24%
53263P105,LMB,LIMBACH HLDGS INC,311343,5,24.24M,389.25,+0%,4%
03769M106,APO,APOLLO GLOBAL MGMT INC,16832,2,2.44M,289.52,+0%,0.4%
