CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
M9T951109,ZIM,ZIM INTEGRATED SHIPPING SERV,6940,-6182,147.34K,-131.24K,-47.1%,0.03%
093712107,BE,BLOOM ENERGY CORP,10,-1938,869,-168.41K,-99.5%,<.01%
83418M103,SEI,SOLARIS ENERGY INFRAS INC,0,-4506,0,-180.1K,CLOSE,0%
67066G104,NVDA,NVIDIA CORPORATION,6083,-972,1.13M,-181.28K,-13.8%,0.24%
916896103,UEC,URANIUM ENERGY CORP,35242,-16711,411.63K,-195.18K,-32.2%,0.09%
448579102,H,HYATT HOTELS CORP,0,-1773,0,-251.64K,CLOSE,0%
778296103,ROST,ROSS STORES INC,0,-1681,0,-256.17K,CLOSE,0%
750917106,RMBS,RAMBUS INC DEL,1,-3013,92,-277.2K,-100%,<.01%
644535106,NGD,NEW GOLD INC CDA,0,-39238,0,-281.73K,CLOSE,0%
517834107,LVS,LAS VEGAS SANDS CORP,0,-5349,0,-287.72K,CLOSE,0%
82982T106,SITM,SITIME CORP,0,-964,0,-290.46K,CLOSE,0%
M3760D101,ESLT,ELBIT SYS LTD,6425,-545,3.71M,-314.85K,-7.8%,0.77%
82706C108,SIMO,SILICON MOTION TECHNOLOGY CO,0,-3374,0,-319.89K,CLOSE,0%
00138L108,RERE,ATRENEW INC,15000,-61875,79.5K,-327.94K,-80.5%,0.02%
826599102,SGML,SIGMA LITHIUM CORPORATION,22498,-25575,296.75K,-337.33K,-53.2%,0.06%
816850101,SMTC,SEMTECH CORP,0,-4820,0,-344.39K,CLOSE,0%
17275R102,CSCO,CISCO SYS INC,41,-4538,3.16K,-349.54K,-99.1%,<.01%
H5919C104,ONON,ON HLDG AG,0,-8690,0,-368.02K,CLOSE,0%
M2029K104,BIRK,BIRKENSTOCK HOLDING PLC,0,-8266,0,-374.04K,CLOSE,0%
931142103,WMT,WALMART INC,4668,-4208,520.06K,-468.81K,-47.4%,0.11%
84265V105,SCCO,SOUTHERN COPPER CORP,5284,-3539,758.1K,-507.74K,-40.1%,0.16%
19247G107,COHR,COHERENT CORP,2361,-3517,435.77K,-649.13K,-59.8%,0.09%
983134107,WYNN,WYNN RESORTS LTD,0,-6151,0,-788.99K,CLOSE,0%
G7997R103,STX,SEAGATE TECHNOLOGY HLDNGS PL,32603,-3011,8.98M,-829.2K,-8.5%,1.9%
835699307,SONY,SONY GROUP CORP,0,-29296,0,-843.43K,CLOSE,0%
M46528101,FRO,FRONTLINE PLC,272455,-39673,5.94M,-865.66K,-12.7%,1.2%
594918104,MSFT,MICROSOFT CORP,14,-2016,6.77K,-975.02K,-99.3%,<.01%
48268K101,KT,KT CORP,0,-51420,0,-1M,CLOSE,0%
697900108,PAAS,PAN AMERN SILVER CORP,0,-27741,0,-1.07M,CLOSE,0%
01609W102,BABA,ALIBABA GROUP HLDG LTD,6272,-7405,919.35K,-1.09M,-54.1%,0.19%
04965M106,ATAT,ATOUR LIFESTYLE HLDGS LTD,6006,-30507,236.64K,-1.2M,-83.6%,0.05%
00215W100,ASX,ASE TECHNOLOGY HLDG CO LTD,0,-128247,0,-1.42M,CLOSE,0%
35671D857,FCX,FREEPORT-MCMORAN INC,0,-36863,0,-1.45M,CLOSE,0%
651639106,NEM,NEWMONT CORP,3313,-15260,330.8K,-1.52M,-82.2%,0.07%
86562M209,SMFG,SUMITOMO MITSUI FINL GROUP I,0,-100000,0,-1.67M,CLOSE,0%
75734B100,RDDT,REDDIT INC,10290,-7632,2.37M,-1.75M,-42.6%,0.49%
89151E109,TTE,TOTALENERGIES SE,0,-30885,0,-1.87M,CLOSE,0%
66987V109,NVS,NOVARTIS AG,0,-20000,0,-2.56M,CLOSE,0%
958102105,WDC,WESTERN DIGITAL CORP,1,-15106,172,-2.6M,-100%,<.01%
683344105,ONTO,ONTO INNOVATION INC,0,-21979,0,-2.84M,CLOSE,0%
55024U109,LITE,LUMENTUM HLDGS INC,17103,-7842,6.3M,-2.89M,-31.4%,1.3%
80874P109,LNWO,LIGHT & WONDER INC,0,-36067,0,-3.03M,CLOSE,0%
852234103,XYZ,BLOCK INC,0,-12506,0,-4.13M,CLOSE,0%
948596AJ0,WB,WEIBO CORP,0,-3400000,0,-4.43M,CLOSE,0%
256135203,RDY,DR REDDYS LABS LTD,0,-340497,0,-4.76M,CLOSE,0%
92763W103,VIPS,VIPSHOP HLDGS LTD,0,-253118,0,-4.97M,CLOSE,0%
482497104,BEKE,KE HLDGS INC,0,-368114,0,-6.99M,CLOSE,0%
45104G104,IBN,ICICI BANK LIMITED,0,-249550,0,-7.54M,CLOSE,0%
456788108,INFY,INFOSYS LTD,0,-935797,0,-15.23M,CLOSE,0%
40415F101,HDB,HDFC BANK LTD,0,-589247,0,-20.14M,CLOSE,0%
136635AG4,CSIQ,CANADIAN SOLAR INC,0,-20000000,0,-20.25M,CLOSE,0%
35969L108,YMM,FULL TRUCK ALLIANCE CO LTD,2130451,-1936488,22.86M,-20.78M,-47.6%,4.8%
722304AC6,PDD,PDD HOLDINGS INC,0,-21327000,0,-21.15M,CLOSE,0%
Total,,,,,479.92M,-40.11M,-7.2%,100%
